atomic_code,uses,sources,current_en,current_mi,status,review_en,review_mi
Her,1,papakupu:1,,,NEEDS_EN+MI,,
Indefinite personal pronoun,1,papakupu:1,,,NEEDS_EN+MI,,
Interjection and conjunction,1,papakupu:1,,,NEEDS_EN+MI,,
Interjection expressing distress or surprise,1,papakupu:1,,,NEEDS_EN+MI,,
Interrogative Pronoun & Universal,1,papakupu:1,,,NEEDS_EN+MI,,
Interrogative demonstrative,1,papakupu:1,,,NEEDS_EN+MI,,
Interrogative pronoun,1,papakupu:1,,,NEEDS_EN+MI,,
Locative Noun,1,papakupu:1,,,NEEDS_EN+MI,,
Locative Particle,1,papakupu:1,,,NEEDS_EN+MI,,
Locative preposition,1,papakupu:1,,,NEEDS_EN+MI,,
Manner Particle,1,papakupu:1,,,NEEDS_EN+MI,,
"March
2003",1,papakupu:1,,,NEEDS_EN+MI,,
March 2003,1,papakupu:1,,,NEEDS_EN+MI,,
Negative,1,papakupu:1,Negative,,NEEDS_MI,,
Negative Verb,1,papakupu:1,,,NEEDS_EN+MI,,
Negative adverb,1,papakupu:1,,,NEEDS_EN+MI,,
Negative exclamation,1,papakupu:1,,,NEEDS_EN+MI,,
Negative phrase,1,papakupu:1,,,NEEDS_EN+MI,,
Negative verb,1,papakupu:1,,,NEEDS_EN+MI,,
Neutral possessive,1,papakupu:1,,,NEEDS_EN+MI,,
Ngare,1,papakupu:1,,,NEEDS_EN+MI,,
No examples in database,1,papakupu:1,,,NEEDS_EN+MI,,
No further information in database; linked to upoko,1,papakupu:1,,,NEEDS_EN+MI,,
"Note from Te
Mātāpunenga ©",1,papakupu:1,,,NEEDS_EN+MI,,
"Note from Te Mātāpunenga 
©",1,papakupu:1,,,NEEDS_EN+MI,,
Noun and Verb,1,papakupu:1,,,NEEDS_EN+MI,,
Numeral Particle,1,papakupu:1,,,NEEDS_EN+MI,,
Numeral prefix,1,papakupu:1,,,NEEDS_EN+MI,,
Ordinal Numeral,1,papakupu:1,,,NEEDS_EN+MI,,
Origin might be ū + kai + pō,1,papakupu:1,,,NEEDS_EN+MI,,
P-Polynesian *'ulu head,1,papakupu:1,,,NEEDS_EN+MI,,
Particle following a noun or pronoun,1,papakupu:1,,,NEEDS_EN+MI,,
Passive verb,1,papakupu:1,,,NEEDS_EN+MI,,
Personal Names,1,papakupu:1,,,NEEDS_EN+MI,,
Place,1,papakupu:1,,,NEEDS_EN+MI,,
"Place
Name",1,papakupu:1,,,NEEDS_EN+MI,,
Positional particle,1,papakupu:1,,,NEEDS_EN+MI,,
Possessive,1,papakupu:1,,,NEEDS_EN+MI,,
"Possessive
pronoun – combination of a [2",1,papakupu:1,,,NEEDS_EN+MI,,
Possessive Determner,1,papakupu:1,,,NEEDS_EN+MI,,
Possessive combination,1,papakupu:1,,,NEEDS_EN+MI,,
Possessive particle >  belong to,1,papakupu:1,,,NEEDS_EN+MI,,
Possessive pronoun – combination of a [2,1,papakupu:1,,,NEEDS_EN+MI,,
Preposed particle,1,papakupu:1,,,NEEDS_EN+MI,,
Preposition (Time Particle) and Determiner,1,papakupu:1,,,NEEDS_EN+MI,,
Preposition + Pronoun,1,papakupu:1,,,NEEDS_EN+MI,,
Stative combination,1,papakupu:1,,,NEEDS_EN+MI,,
Temporal base,1,papakupu:1,,,NEEDS_EN+MI,,
Their,1,papakupu:1,,,NEEDS_EN+MI,,
They,1,papakupu:1,,,NEEDS_EN+MI,,
Time expression,1,papakupu:1,,,NEEDS_EN+MI,,
"Tongan unuhi 
“take out",1,papakupu:1,,,NEEDS_EN+MI,,
Verb phrase,1,papakupu:1,,,NEEDS_EN+MI,,
Vocative particle,1,papakupu:1,,,NEEDS_EN+MI,,
WhA-58,1,papakupu:1,,,NEEDS_EN+MI,,
affected by,1,papakupu:1,,,NEEDS_EN+MI,,
alternative form of ana [3,1,papakupu:1,,,NEEDS_EN+MI,,
alternative form of anake,1,papakupu:1,,,NEEDS_EN+MI,,
alternative form of ina,1,papakupu:1,,,NEEDS_EN+MI,,
blond,1,papakupu:1,,,NEEDS_EN+MI,,
brown,1,papakupu:1,,,NEEDS_EN+MI,,
def.,1,williams:1,Determiner (definite),,NEEDS_MI,,
following a verb or stative,1,papakupu:1,,,NEEDS_EN+MI,,
from waiata,1,papakupu:1,,,NEEDS_EN+MI,,
hair + P-Polynesian kefu light coloured,1,papakupu:1,,,NEEDS_EN+MI,,
linked to upoko,1,papakupu:1,,,NEEDS_EN+MI,,
locative,1,paekupu:1,Locative,Tūwāhi,OK,,
"of  No wai ēnei huu?
Noona. Whose are these? His/hers. [NKU/TA",1,papakupu:1,,,NEEDS_EN+MI,,
plural of tana,1,papakupu:1,,,NEEDS_EN+MI,,
plural of taua,1,papakupu:1,,,NEEDS_EN+MI,,
plural of tā 1,1,papakupu:1,,,NEEDS_EN+MI,,
plural of tāna,1,papakupu:1,,,NEEDS_EN+MI,,
plural of tāu,1,papakupu:1,,,NEEDS_EN+MI,,
plural of tēnā,1,papakupu:1,,,NEEDS_EN+MI,,
plural of tō,1,papakupu:1,,,NEEDS_EN+MI,,
plural of tō [2,1,papakupu:1,,,NEEDS_EN+MI,,
plural of tōku,1,papakupu:1,,,NEEDS_EN+MI,,
plural of tōu,1,papakupu:1,,,NEEDS_EN+MI,,
proper name,1,te_aka:1,,,NEEDS_EN+MI,,
"reddish (especially of 
hair)",1,papakupu:1,,,NEEDS_EN+MI,,
sinmple noun,1,te_aka:1,,,NEEDS_EN+MI,,
transitive verb?,1,te_aka:1,,,NEEDS_EN+MI,,
tāw,1,hepatakakupu:1,,,NEEDS_EN+MI,,
universal transitive verb,1,te_aka:1,,,NEEDS_EN+MI,,
variant of ināianei,1,papakupu:1,,,NEEDS_EN+MI,,
withdraw”,1,papakupu:1,,,NEEDS_EN+MI,,
“o” class,1,papakupu:1,,,NEEDS_EN+MI,,
